,energy,pulsewidth,spotsize,targetthickness
129,85.0,1025.0,12.0,15000.0
956,1.569905,279.0,3.3,433.0
105,450.0,610.0,50.0,50000.0
181,30.0,30.0,75.68681410806745,2000.0
1026,1.57277,279.0,3.3,661.0
960,1.56223,279.0,3.3,565.0
339,2.38904,30.0,3.3,519.0
73,40.662000000000006,4568.0,2.9015911197,4000.0
909,1.572155,30.0,3.3,548.0
479,2.34427,30.0,3.3,617.0
446,2.343815,30.0,3.3,528.0
930,1.551985,187.0,3.3,593.0
482,2.360525,30.0,3.3,657.0
70,19.521,475.0,2.4290139762,4000.0
1019,1.547005,279.0,3.3,714.0
37,0.3,122.0,2.3,1500.0
947,1.54911,279.0,3.3,559.0
216,30.0,889.1440121045786,4.1,2000.0
88,1.5,30.0,17.156048874278195,15000.0
255,12.870932059181115,30.0,4.1,2000.0
787,2.36549,463.0,3.3,699.0
760,2.35777,279.0,3.3,1063.0
352,2.348515,30.0,3.3,574.0
16,137.21400000000003,500.0,2.438152695,1100.0
1020,1.56084,279.0,3.3,673.0
288,1.8,100.0,5.6,2511.0
682,2.3359,30.0,3.3,130.0
206,2.401765,30.0,3.3,597.0
414,2.43409,463.0,3.3,422.0
124,10.0,45.0,2.5,20000.0
325,0.3,33.0,8.95945432,500.0
262,2.36938,30.0,3.3,739.0
1092,1.54315,279.0,3.3,277.0
657,2.311765,30.0,3.3,287.0
613,2.298565,30.0,3.3,291.0
35,0.3,28.0,2.3,1500.0
776,2.388265,279.0,3.3,919.0
767,2.300885,279.0,3.3,990.0
376,2.35929,187.0,3.3,645.0
15,102.65480093676815,500.0,3.0,1500.0
264,27.522068911957696,30.0,4.1,2000.0
230,2.3909,30.0,3.3,654.0
706,2.29926,30.0,3.3,295.0
753,2.34638,279.0,3.3,812.0
246,3.5545840854602155,30.0,4.1,2000.0
324,2.41272,30.0,3.3,796.0
34,0.3,448.0,2.3,15000.0
695,2.36175,30.0,3.3,256.0
1051,1.56093,30.0,3.3,282.0
25,0.3,64.0,2.3,15000.0
658,2.32792,30.0,3.3,283.0
750,2.374125,279.0,3.3,795.0
265,2.41954,30.0,3.3,779.0
321,0.3,33.0,8.95945432,12000.0
429,2.34135,30.0,3.3,427.0
986,1.561835,279.0,3.3,555.0
2,122.63400000000001,500.0,2.664386241,10000.0
32,0.3,267.0,2.3,15000.0
815,2.339345,279.0,3.3,829.0
231,2.385395,30.0,3.3,637.0
965,1.51798,279.0,3.3,469.0
579,2.27376,30.0,3.3,275.0
1087,1.55077,279.0,3.3,280.0
931,1.546735,187.0,3.3,547.0
964,1.552,279.0,3.3,476.0
1042,1.559415,279.0,3.3,595.0
69,1.8,415.0,5.6,120.0
1081,1.5197,30.0,3.3,265.0
809,2.33162,279.0,3.3,881.0
405,2.407705,463.0,3.3,647.0
694,2.32635,30.0,3.3,261.0
109,5.714285714285714,620.0,4.7,15000.0
257,16.273139295449393,30.0,4.1,2000.0
1071,1.524845,30.0,3.3,264.0
440,2.31384,30.0,3.3,630.0
349,10.0,45.0,2.5,50000.0
249,6.902077295669319,30.0,4.1,2000.0
984,1.56437,279.0,3.3,587.0
1086,1.546385,279.0,3.3,246.0
1082,1.5707,279.0,3.3,283.0
1013,1.6036,279.0,3.3,654.0
560,2.347405,30.0,3.3,299.0
629,2.344235,30.0,3.3,252.0
853,2.360735,279.0,3.3,740.0
1007,1.558995,279.0,3.3,595.0
569,2.340155,30.0,3.3,605.0
509,2.34806,30.0,3.3,282.0
538,2.34417,30.0,3.3,526.0
97,0.3,30.0,6.0,15000.0
1050,1.48325,30.0,3.3,860.0
758,2.314265,279.0,3.3,1111.0
286,1.8,100.0,5.6,15.0
799,2.32073,142.0,3.3,937.0
968,1.523935,279.0,3.3,490.0
1033,1.532805,279.0,3.3,667.0
977,1.536505,279.0,3.3,507.0
979,1.558935,279.0,3.3,503.0
223,30.0,347.7501782308164,4.1,2000.0
726,2.35588,30.0,3.3,1070.0
278,2.405105,30.0,3.3,793.0
193,30.0,30.0,29.326222221065116,2000.0
203,2.381305,30.0,3.3,547.0
202,2.4129,30.0,3.3,576.0
663,2.33122,30.0,3.3,323.0
89,1.5,30.0,15.661258276838801,15000.0
683,2.342305,30.0,3.3,130.0
636,2.325785,30.0,3.3,316.0
326,2.382235,30.0,3.3,826.0
395,2.417935,279.0,3.3,665.0
176,30.0,30.0,110.7956914084241,2000.0
242,2.41452,30.0,3.3,774.0
884,2.35059,279.0,3.3,629.0
371,2.38577,187.0,3.3,575.0
974,1.521905,279.0,3.3,526.0
79,0.38,40.0,118.23990703814663,25.0
833,2.372845,279.0,3.3,686.0
282,1.8,30.0,5.6,6520.0
691,2.347865,30.0,3.3,269.0
18,54.27,500.0,2.127339324,1100.0
125,10.0,45.0,2.5,500.0
906,1.562325,30.0,3.3,595.0
795,2.357485,142.0,3.3,898.0
580,2.31156,30.0,3.3,257.0
218,2.399065,30.0,3.3,627.0
105,1.5,74.0,6.0,15000.0
508,2.33782,30.0,3.3,540.0
11,95.013,500.0,2.531498772,1000.0
784,2.36952,463.0,3.3,617.0
793,2.328025,463.0,3.3,834.0
566,2.36092,30.0,3.3,607.0
246,2.40292,30.0,3.3,675.0
236,30.0,31.357303551019708,4.1,2000.0
686,2.328835,30.0,3.3,296.0
44,0.22,30.0,5.6,120.0
423,2.433395,463.0,3.3,535.0
828,2.299575,279.0,3.3,793.0
172,30.0,30.0,138.7135457936998,2000.0
323,0.3,33.0,8.95945432,1500.0
631,2.32565,30.0,3.3,262.0
324,0.3,33.0,8.95945432,800.0
266,2.45345,30.0,3.3,810.0
540,2.350245,30.0,3.3,519.0
434,2.355355,30.0,3.3,545.0
319,5.22,320.0,6.0,30000.0
390,2.406245,187.0,3.3,649.0
240,2.40027,30.0,3.3,769.0
22,174.96,500.0,3.102563193,300.0
653,2.326845,30.0,3.3,263.0
630,2.286895,30.0,3.3,256.0
1036,1.563625,279.0,3.3,690.0
337,2.38355,80.0,3.3,449.0
882,2.34635,279.0,3.3,678.0
340,0.236,65.0,8.0,300.0
763,2.33001,279.0,3.3,854.0
719,2.33095,30.0,3.3,1024.0
343,2.36662,30.0,3.3,548.0
411,2.38955,463.0,3.3,603.0
98,0.7058823529411764,30.0,6.0,15000.0
435,2.37768,30.0,3.3,574.0
358,2.395975,80.0,3.3,580.0
8,126.60300000000002,500.0,2.437323735,1000.0
488,2.339725,30.0,3.3,591.0
626,2.325725,30.0,3.3,275.0
871,2.382945,279.0,3.3,736.0
734,2.35764,80.0,3.3,947.0
274,2.39443,30.0,3.3,836.0
1009,1.582385,279.0,3.3,597.0
541,2.334445,30.0,3.3,503.0
39,154.14300000000003,500.0,5.02090344975,800.0
51,132.03,500.0,4.3481003205,10000.0
1016,1.578845,279.0,3.3,719.0
955,1.536935,279.0,3.3,433.0
913,1.551235,30.0,3.3,545.0
37,3.1590000000000003,500.0,2.946356514,1500.0
228,2.43254,30.0,3.3,695.0
684,2.34805,30.0,3.3,130.0
190,30.0,30.0,44.19861745850279,2000.0
934,1.530935,187.0,3.3,494.0
407,2.39858,463.0,3.3,525.0
577,2.26359,30.0,3.3,270.0
1078,1.516115,30.0,3.3,254.0
338,0.236,65.0,8.0,710.0
453,2.3873,30.0,3.3,561.0
814,2.353445,279.0,3.3,760.0
346,3.0,30.0,3.4,5000.0
280,2.40103,30.0,3.3,764.0
211,30.0,30.0,7.2506170702973485,2000.0
170,30.0,30.0,157.50324435411443,2000.0
155,2.38653,30.0,3.3,530.0
757,2.376,279.0,3.3,1045.0
341,2.37088,30.0,3.3,560.0
57,153.9,500.0,4.71148836,800.0
932,1.537645,187.0,3.3,510.0
272,2.384005,30.0,3.3,1012.0
952,1.5701,279.0,3.3,478.0
948,1.51723,279.0,3.3,638.0
348,3.0,30.0,3.4,2000.0
13,114.83957845433255,500.0,3.0,300.0
836,2.36585,279.0,3.3,700.0
100,1.0,30.0,6.0,15000.0
493,2.351495,30.0,3.3,527.0
805,2.34266,279.0,3.3,989.0
992,1.54018,279.0,3.3,574.0
85,68.364,7500.0,3.2838624441,4000.0
157,2.3700000000000006,30.0,3.4,5000.0
317,2.38261,30.0,3.3,649.0
602,2.297,30.0,3.3,281.0
1005,1.576995,279.0,3.3,675.0
941,1.53302,279.0,3.3,587.0
854,2.32718,279.0,3.3,761.0
252,9.072362254175186,30.0,4.1,2000.0
360,2.40173,80.0,3.3,538.0
151,2.422555,30.0,3.3,684.0
594,2.318285,30.0,3.3,278.0
487,2.388675,30.0,3.3,606.0
829,2.296275,279.0,3.3,749.0
312,2.49908,30.0,3.3,768.0
904,1.54143,30.0,3.3,499.0
754,2.35953,279.0,3.3,813.0
388,2.415065,187.0,3.3,588.0
466,2.32342,30.0,3.3,646.0
294,0.2,60.0,6.48,75000.0
145,310.3563127389735,5900.0,7.61,25000.0
316,2.39144,30.0,3.3,715.0
624,2.290495,30.0,3.3,128.0
781,2.39427,463.0,3.3,441.0
149,4.6,320.0,5.5,20000.0
945,1.54805,279.0,3.3,289.0
215,30.0,889.4451276474259,4.1,2000.0
340,2.42657,30.0,3.3,611.0
260,24.09473206038041,30.0,4.1,2000.0
617,2.32291,30.0,3.3,268.0
936,1.540205,187.0,3.3,566.0
522,2.33564,30.0,3.3,684.0
982,1.580915,279.0,3.3,591.0
233,30.0,30.812833535116827,4.1,2000.0
42,148.554,500.0,5.94197597775,300.0
670,2.325305,30.0,3.3,269.0
66,1.8,150.0,5.6,120.0
654,2.34904,30.0,3.3,261.0
306,0.7,45.0,6.0,30.0
78,47.142,475.0,3.7451885751,4000.0
75,0.022,40.0,60.0,25.0
0,106.191,500.0,2.8044649,10000.0
115,16.93877551020408,620.0,4.7,15000.0
662,2.34311,30.0,3.3,432.0
293,2.397495,30.0,3.3,817.0
63,1.8,51.0,5.6,120.0
1012,1.550665,279.0,3.3,650.0
778,2.37145,463.0,3.3,659.0
195,2.44145,30.0,3.3,585.0
268,2.42537,30.0,3.3,783.0
53,125.55000000000001,500.0,5.41858182,500.0
102,1.5,931.0,6.0,15000.0
97,101.89800000000001,475.0,2.2788112284,4000.0
254,12.86750529345716,30.0,4.1,2000.0
14,115.25901639344264,500.0,3.0,300.0
621,2.33828,30.0,3.3,296.0
1055,1.527245,30.0,3.3,267.0
735,2.30726,80.0,3.3,873.0
1067,1.51663,30.0,3.3,266.0
504,2.326055,30.0,3.3,292.0
562,2.35242,30.0,3.3,605.0
899,2.35687,279.0,3.3,713.0
298,2.409565,30.0,3.3,802.0
558,2.294575,30.0,3.3,585.0
1023,1.568575,279.0,3.3,582.0
907,1.54272,30.0,3.3,568.0
134,2.4287,30.0,3.3,584.0
67,121.33800000000002,1830.0,2.6848239201,4000.0
50,153.9,500.0,4.37390676375,25000.0
302,0.36,30.0,4.6,6000.0
180,2.39236,30.0,3.3,643.0
286,2.42426,30.0,3.3,764.0
1043,1.577475,279.0,3.3,615.0
49,135.27,500.0,10.12194107325,10000.0
847,2.3667,279.0,3.3,898.0
616,2.291065,30.0,3.3,280.0
327,2.39484,80.0,3.3,581.0
473,2.297085,30.0,3.3,547.0
119,8.0,200.0,10.0,5000.0
110,250.0,1500.0,60.0,5000.0
28,123.93,500.0,3.51498822,300.0
277,2.44688,30.0,3.3,828.0
289,2.412735,30.0,3.3,809.0
1000,1.565205,279.0,3.3,535.0
350,2.42314,30.0,3.3,536.0
172,2.3635,30.0,3.3,554.0
263,18.276083861102048,30.0,4.1,2000.0
189,30.0,30.0,46.42538572256596,2000.0
153,0.54,30.0,3.4,5000.0
40,126.36000000000001,500.0,5.1529898655,500.0
73,0.18,40.0,20.0,25.0
751,2.3278,279.0,3.3,768.0
768,2.33946,279.0,3.3,1010.9999999999999
190,2.45813,30.0,3.3,646.0
365,2.41952,80.0,3.3,348.0
111,6.326530612244897,620.0,4.7,15000.0
444,2.340545,30.0,3.3,569.0
156,2.0700000000000003,30.0,3.4,5000.0
41,140.13,500.0,4.6226080695,50.0
126,85.0,2050.0,12.0,15000.0
224,2.441225,30.0,3.3,505.0
545,2.298945,30.0,3.3,534.0
163,2.4034,30.0,3.3,106.0
480,2.35722,30.0,3.3,593.0
214,30.0,30.0,9.712440658488894,2000.0
568,2.315505,30.0,3.3,657.0
865,2.342075,279.0,3.3,749.0
835,2.352695,279.0,3.3,745.0
60,102.95100000000001,475.0,2.6523033,4000.0
738,2.34306,187.0,3.3,772.0
219,2.414615,30.0,3.3,595.0
31,0.3,269.0,2.3,15000.0
914,1.54505,30.0,3.3,571.0
231,30.0,175.1681209249502,4.1,2000.0
476,2.327065,30.0,3.3,629.0
374,2.41988,187.0,3.3,637.0
875,2.38333,279.0,3.3,670.0
66,65.043,950.0,2.6959018401,4000.0
228,30.0,178.87238446422668,4.1,2000.0
697,2.313055,30.0,3.3,280.0
648,2.338435,30.0,3.3,270.0
492,2.36638,30.0,3.3,538.0
122,100.0,620.0,4.7,15000.0
77,0.16,40.0,60.0,25.0
601,2.29717,30.0,3.3,285.0
107,187.0,610.0,50.0,10000.0
792,2.35544,463.0,3.3,839.0
255,2.418115,30.0,3.3,769.0
1024,1.53994,279.0,3.3,571.0
730,2.329925,80.0,3.3,1080.0
350,10.0,45.0,2.5,20000.0
145,2.395505,30.0,3.3,544.0
53,0.3184691871958199,147.0,5.6,120.0
481,2.357,30.0,3.3,586.0
101,1.5,30.0,6.0,15000.0
232,30.0,175.00082541927486,4.1,2000.0
361,2.453165,80.0,3.3,587.0
314,0.7,45.0,3.6,5.0
1031,1.53405,279.0,3.3,609.0
404,2.397825,463.0,3.3,581.0
660,2.319925,30.0,3.3,319.0
520,2.333425,30.0,3.3,573.0
525,2.316,30.0,3.3,632.0
692,2.33278,30.0,3.3,257.0
283,1.8,30.0,5.6,10000.0
67,1.8,199.0,5.6,120.0
327,2.7,30.0,3.0,2200.0
183,30.0,30.0,77.17569534710644,2000.0
7,155.277,500.0,2.21508474,1000.0
26,0.3,65.0,2.3,15000.0
497,2.350235,30.0,3.3,525.0
59,1.8,30.0,11.50862745245844,120.0
678,2.308495,30.0,3.3,279.0
380,2.414035,187.0,3.3,685.0
309,2.42713,30.0,3.3,789.0
94,37.827000000000005,7600.0,2.5515634662,4000.0
112,6.122448979591836,620.0,4.7,15000.0
919,1.54614,80.0,3.3,600.0
394,2.39124,279.0,3.3,562.0
226,2.441045,30.0,3.3,541.0
195,30.0,30.0,25.085231549314912,2000.0
313,0.7,45.0,3.6,6.0
345,3.0,30.0,3.4,6000.0
29,0.3,200.0,2.3,15000.0
315,5.22,320.0,6.0,222000.0
430,2.343,30.0,3.3,268.0
45,0.5,30.0,5.6,120.0
554,2.35323,30.0,3.3,633.0
9,58.5400468384075,500.0,3.0,300.0
494,2.35696,30.0,3.3,530.0
120,59.183673469387756,620.0,4.7,15000.0
1059,1.515165,30.0,3.3,288.0
431,2.352015,30.0,3.3,276.0
939,1.513855,279.0,3.3,820.0
890,2.358025,279.0,3.3,835.0
638,2.33237,30.0,3.3,410.0
723,2.34089,30.0,3.3,1102.0
382,2.431015,187.0,3.3,565.0
33,5.67,500.0,2.879521143,300.0
503,2.372915,30.0,3.3,538.0
333,2.7,30.0,3.0,9.0
842,2.36419,279.0,3.3,825.0
233,2.376415,30.0,3.3,602.0
205,30.0,30.0,13.817412680865312,2000.0
673,2.311305,30.0,3.3,245.0
170,2.408435,30.0,3.3,515.0
689,2.337305,30.0,3.3,288.0
1045,1.5585,279.0,3.3,588.0
797,2.364635,142.0,3.3,942.0
23,0.3,21.0,2.3,15000.0
337,0.236,65.0,8.0,1500.0
251,9.074646764657825,30.0,4.1,2000.0
305,0.7,45.0,6.0,50.0
491,2.3538,30.0,3.3,553.0
967,1.5599,279.0,3.3,479.0
248,6.641643100648615,30.0,4.1,2000.0
772,2.29966,279.0,3.3,944.0
920,1.533975,80.0,3.3,547.0
618,2.339085,30.0,3.3,273.0
448,2.36613,30.0,3.3,526.0
290,1.8,100.0,5.6,20000.0
98,8.91,475.0,2.2001718438,4000.0
134,35.0,1000.0,10.0,10000.0
402,2.46201,279.0,3.3,635.0
196,30.0,30.0,23.87856778718659,2000.0
530,2.31226,30.0,3.3,580.0
769,2.336255,279.0,3.3,1092.0
275,2.431245,30.0,3.3,787.0
742,2.367505,187.0,3.3,981.0
887,2.317955,279.0,3.3,723.0
175,2.305865,30.0,3.3,578.0
71,0.014,40.0,20.0,25.0
1034,1.598315,279.0,3.3,676.0
946,1.53828,279.0,3.3,525.0
311,2.41919,30.0,3.3,765.0
959,1.60278,279.0,3.3,574.0
284,1.8,30.0,5.6,20000.0
498,2.34468,30.0,3.3,481.0
60,1.8,30.0,28.54939103103521,120.0
238,30.0,30.118497976968026,4.1,2000.0
510,2.3274,30.0,3.3,449.0
774,2.318355,279.0,3.3,1041.0
796,2.36522,142.0,3.3,862.0
118,180.0,800.0,30.0,125000.0
33,0.3,450.0,2.3,15000.0
178,30.0,30.0,94.73757978430369,2000.0
287,2.441825,30.0,3.3,783.0
874,2.340675,279.0,3.3,705.0
225,2.413635,30.0,3.3,515.0
672,2.348265,30.0,3.3,261.0
846,2.34986,279.0,3.3,990.0
729,2.367755,80.0,3.3,866.0
164,30.0,30.0,321.54092266304383,2000.0
589,2.30942,30.0,3.3,283.0
782,2.3883,463.0,3.3,621.0
328,2.361755,80.0,3.3,257.0
926,1.54788,80.0,3.3,615.0
449,2.37678,30.0,3.3,283.0
314,2.420565,30.0,3.3,733.0
826,2.36293,279.0,3.3,817.0
130,85.0,1138.888888888889,12.0,15000.0
688,2.319125,30.0,3.3,288.0
76,2.268,12900.0,3.8401886628,4000.0
230,30.0,182.21900238817582,4.1,2000.0
92,1.5,30.0,11.745943707629099,15000.0
3,143.69400000000002,500.0,2.992566324,10000.0
108,982.0,10000.0,40.0,15000.0
779,2.335855,463.0,3.3,549.0
976,1.52967,279.0,3.3,496.0
22,1.5,25.0,5.0,5000.0
521,2.36646,30.0,3.3,656.0
879,2.369825,279.0,3.3,789.0
201,2.43317,30.0,3.3,632.0
1015,1.608995,279.0,3.3,626.0
76,0.072,40.0,60.0,25.0
156,2.422745,30.0,3.3,553.0
980,1.52653,279.0,3.3,538.0
583,2.33518,30.0,3.3,279.0
214,2.398145,30.0,3.3,576.0
55,1.0788956137654306,498.0,5.6,120.0
211,2.418265,30.0,3.3,531.0
632,2.299915,30.0,3.3,258.0
64,1.8,69.0,5.6,120.0
209,2.412,30.0,3.3,583.0
247,3.7685284921592412,30.0,4.1,2000.0
23,70.47,500.0,2.851211217,300.0
515,2.34168,30.0,3.3,423.0
625,2.357995,30.0,3.3,289.0
319,2.465265,30.0,3.3,709.0
765,2.35824,279.0,3.3,913.0
31,23.085,500.0,3.073229784,300.0
289,1.8,100.0,5.6,6520.0
557,2.405865,30.0,3.3,640.0
646,2.335745,30.0,3.3,283.0
552,2.369215,30.0,3.3,324.0
292,2.44843,30.0,3.3,802.0
127,85.0,1464.2857142857142,12.0,15000.0
442,2.35172,30.0,3.3,603.0
318,2.390865,30.0,3.3,745.0
518,2.34886,30.0,3.3,542.0
379,2.43917,187.0,3.3,633.0
142,400.0,1000.0,7.609269752041619,10000.0
845,2.32901,279.0,3.3,1004.0
985,1.584195,279.0,3.3,562.0
696,2.317385,30.0,3.3,258.0
1022,1.573555,279.0,3.3,608.0
868,2.35079,279.0,3.3,886.0
185,2.41203,30.0,3.3,702.0
168,30.0,30.0,173.66592577015828,2000.0
86,1.5,30.0,23.20363248121055,15000.0
320,2.422805,30.0,3.3,731.0
12,133.97400000000002,500.0,2.81861943,1000.0
118,30.612244897959183,620.0,4.7,15000.0
832,2.331555,279.0,3.3,710.0
16,130.80562060889932,500.0,3.0,1500.0
5,180.0,500.0,3.8,300.0
282,2.37268,30.0,3.3,766.0
426,2.39783,30.0,3.3,517.0
507,2.36631,30.0,3.3,525.0
61,110.322,475.0,2.4280931,4000.0
1017,1.581685,279.0,3.3,691.0
20,1.1,40.0,1.3,100.0
313,2.423525,30.0,3.3,726.0
1010,1.5524,279.0,3.3,592.0
328,2.7,30.0,3.0,1200.0
802,2.34206,279.0,3.3,869.0
288,2.429535,30.0,3.3,806.0
293,0.2,60.0,6.48,50000.0
200,2.4079,30.0,3.3,569.0
650,2.317915,30.0,3.3,259.0
966,1.548185,279.0,3.3,463.0
191,30.0,30.0,42.114208839539046,2000.0
717,2.325245,30.0,3.3,994.0
120,7.0,60.0,15.0,6000.0
877,2.337315,279.0,3.3,718.0
117,180.0,800.0,30.0,5000.0
24,53.46,500.0,3.642537375,300.0
175,30.0,30.0,111.8566193359292,2000.0
42,0.3,691.0,2.3,1500.0
91,1.5,30.0,13.030954558944712,15000.0
1069,1.52684,30.0,3.3,825.0
676,2.34512,30.0,3.3,265.0
659,2.381605,30.0,3.3,299.0
121,59.183673469387756,620.0,4.7,15000.0
197,2.383755,30.0,3.3,555.0
736,2.338995,80.0,3.3,949.0
159,2.9700000000000006,30.0,3.4,2000.0
139,2.39453,30.0,3.3,591.0
146,436.6029484294034,8300.0,7.61,25000.0
1061,1.512905,30.0,3.3,269.0
184,30.0,30.0,69.97322159774194,2000.0
212,30.0,30.0,7.253640770615976,2000.0
71,19.359,2280.0,2.9299921371,4000.0
572,2.320695,30.0,3.3,125.0
741,2.31403,187.0,3.3,1111.0
11,85.84988290398127,500.0,3.0,300.0
1088,1.56246,279.0,3.3,248.0
112,1000.0,6000.0,60.0,5000.0
125,85.0,5125.0,12.0,15000.0
164,2.39494,30.0,3.3,293.0
43,160.299,500.0,4.93671243525,1000.0
347,3.0,30.0,3.4,2000.0
304,0.36,30.0,4.6,15000.0
159,2.41304,30.0,3.3,549.0
1,78.26086956521739,500.0,3.8,300.0
728,2.34712,80.0,3.3,832.0
179,2.408775,30.0,3.3,618.0
454,2.378255,30.0,3.3,634.0
148,2.424175,30.0,3.3,569.0
158,2.7600000000000002,30.0,3.4,5000.0
759,2.39915,279.0,3.3,1058.0
573,2.348175,30.0,3.3,253.0
848,2.342875,279.0,3.3,775.0
855,2.36667,279.0,3.3,784.0
998,1.58391,279.0,3.3,559.0
469,2.334735,30.0,3.3,559.0
344,3.0,30.0,3.4,13000.0
240,30.0,31.302489624030525,4.1,2000.0
17,148.45152224824355,500.0,3.0,1500.0
204,2.39966,30.0,3.3,569.0
383,2.415985,187.0,3.3,599.0
549,2.278065,30.0,3.3,704.0
3,113.47826086956522,500.0,3.8,300.0
51,1.85,30.0,5.6,120.0
857,2.39512,279.0,3.3,844.0
90,95.337,475.0,4.3168923315,4000.0
610,2.303175,30.0,3.3,288.0
642,2.341135,30.0,3.3,258.0
561,2.336615,30.0,3.3,608.0
806,2.33606,279.0,3.3,940.0
581,2.283705,30.0,3.3,338.0
281,1.8,30.0,5.6,1000.0
208,2.368195,30.0,3.3,663.0
831,2.328895,279.0,3.3,741.0
1076,1.537675,30.0,3.3,282.0
